# hinglish	yaar kal ki party cancel ho gayi kya
yaar	hi-ur
kal	hi-ur
ki	hi-ur
party	en
cancel	en
ho	hi-ur
gayi	hi-ur
kya	hi-ur

# hinglish	main abhi office se nikal raha hoon
main	hi-ur
abhi	hi-ur
office	en
se	hi-ur
nikal	hi-ur
raha	hi-ur
hoon	hi-ur

# hinglish	the main problem is ki koi reply nahi karta
the	en
main	en
problem	en
is	en
ki	hi-ur
koi	hi-ur
reply	en
nahi	hi-ur
karta	hi-ur

# hinglish	bro ye movie bohot boring thi, I slept halfway
bro	en
ye	hi-ur
movie	en
bohot	hi-ur
boring	en
thi	hi-ur
I	en
slept	en
halfway	en

# hinglish	mujhe lagta hai we should leave early
mujhe	hi-ur
lagta	hi-ur
hai	hi-ur
we	en
should	en
leave	en
early	en

# hinglish	assignment submit karne ki last date kab hai
assignment	en
submit	en
karne	hi-ur
ki	hi-ur
last	en
date	en
kab	hi-ur
hai	hi-ur

# hinglish	mummy bol rahi thi ke tum late aaoge
mummy	en
bol	hi-ur
rahi	hi-ur
thi	hi-ur
ke	hi-ur
tum	hi-ur
late	en
aaoge	hi-ur

# hinglish	he is so annoying yaar, har baar same joke
he	en
is	en
so	en
annoying	en
yaar	hi-ur
har	hi-ur
baar	hi-ur
same	en
joke	en

# hinglish	chal theek hai, see you tomorrow
chal	hi-ur
theek	hi-ur
hai	hi-ur
see	en
you	en
tomorrow	en

# hinglish	Rahul ne bola tha ki meeting 5 baje hai
Rahul	ne
ne	hi-ur
bola	hi-ur
tha	hi-ur
ki	hi-ur
meeting	en
baje	hi-ur
hai	hi-ur

# hinglish	please mujhe notes bhej do jab free ho
please	en
mujhe	hi-ur
notes	en
bhej	hi-ur
do	hi-ur
jab	hi-ur
free	en
ho	hi-ur

# hinglish	to phir kya plan hai weekend ka
to	hi-ur
phir	hi-ur
kya	hi-ur
plan	en
hai	hi-ur
weekend	en
ka	hi-ur

# roman-urdu	aap kaisay hain, bohat din ho gaye
aap	hi-ur
kaisay	hi-ur
hain	hi-ur
bohat	hi-ur
din	hi-ur
ho	hi-ur
gaye	hi-ur

# roman-urdu	mera phone kharab ho gaya hai, repair karwana hai
mera	hi-ur
phone	en
kharab	hi-ur
ho	hi-ur
gaya	hi-ur
hai	hi-ur
repair	en
